Customer ID,Churned,Age,Average Bill over 6 months,Average Bill over 12 months,Number of defaults in last 12 bills,Payment Method,District,Area,Concesssion Card,INBOUNDCALLS,OUTBOUNDCALLS,Relationship (months),Occupier Status,Multiple Fuel,Bill Delivery Method,rpart,Category of latest complaint,NPS,Product,Multiple Products,Product_New,Adjusted Prob for 50% Cut-off (without Formulae),Customer Segment,Product Category,Bill Amount
16,No,26,33.7075,38.505,2,Cheque,V,Victoria,No,0,0,17,Regular,N,Mail,0.114993779,Call Drop,1,Mobile,No,Internet Service,0.547996846,Principled Professional,ADSL,304
17,No,59,19,76.0075,1,Cheque,V,Victoria,Yes,0,0,75,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,No,Fixed Line,0.228170627,Entrepreneur,Internet,85
18,No,58,9.3075,15.1025,3,Cheque,V,Victoria,No,0,0,22,Regular,N,Mail,0.053805332,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.346654215,"Friends, Fun & Fashion",Mobile,241
19,No,45,4,19.4725,0,Cheque,Q,Queensland,No,1,0,4,Regular,N,Mail,0.053805332,High Billed Amount,0,Mobile,Yes,Mobile & PayTV,0.346654215,Entrepreneur,ADSL,185
20,No,49,24.2975,20.2325,3,Cheque,V,Victoria,No,0,0,12,Regular,N,Internet,0.053805332,High Billed Amount,0,Mobile,No,Fixed Line,0.346654215,Independents,Cable,324
21,No,29,99.23,71.04,2,Cheque,V,Victoria,No,0,0,58,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,No,Internet Service,0.228170627,Entrepreneur,Bundle,86
22,No,58,27.3875,26.3325,2,Cheque,V,Victoria,No,0,0,121,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Mobile & PayTV,0.228170627,Independents,Fixed line,65
23,No,29,20.98,18.495,1,Cheque,V,Victoria,No,0,0,38,Regular,Y,Mail,0.030710259,Internet Slowness,0,Mobile,No,Fixed Line,0.228170627,Small Business,ADSL,131
24,No,44,56.0875,56.2325,2,Credit Card,V,Victoria,No,0,0,3,Regular,Y,Mail,0.074102396,High Billed Amount,0,Mobile,No,Internet Service,0.427509712,"Friends, Fun & Fashion",Fixed line,206
25,No,29,23.3325,20.705,0,Cheque,V,Victoria,No,0,0,66,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Cable,102
26,No,53,15,118.695,1,Cheque,Q,Queensland,No,0,0,31,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,"Friends, Fun & Fashion",Fixed line,94
27,No,50,8,90.8425,4,Cheque,Q,Queensland,No,0,0,40,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Independents,Mobile,118
28,No,73,10,103.775,2,Cheque,V,Victoria,Yes,0,0,64,Regular,N,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.427509712,Independents,Bundle,35
29,No,67,17.925,16.6725,2,Cheque,V,Victoria,No,0,0,114,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Mobile,76
30,No,45,14.3825,14.9025,2,Direct Debit,V,Victoria,No,0,0,,Regular,N,Internet,0.030710259,High Billed Amount,0,Mobile,No,Fixed Line,0.228170627,Independents,ADSL,207
31,No,42,5,55.2975,0,Cheque,Q,Queensland,No,0,0,18,Regular,N,Mail,0.150442478,High Billed Amount,1,Mobile,Yes,Mobile & Internet Service,0.622967315,Principled Professional,Internet,72
32,No,22,46.47,39.1675,0,Cheque,V,Victoria,No,0,0,12,Regular,Y,Internet,0.074102396,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.427509712,Small Business,Fixed line,125
33,No,36,31.71,26.62,2,Cheque,V,Victoria,No,0,0,78,Regular,Y,Internet,0.030710259,Call Drop,0,Mobile,No,Fixed Line,0.228170627,"Friends, Fun & Fashion",Cable,114
34,Yes,42,11,8.8925,0,Credit Card,S,South Australia,No,0,0,2,Regular,N,Internet,0.053805332,Call Drop,1,Mobile,Yes,Internet Service & Fixed Line,0.346654215,"Friends, Fun & Fashion",Mobile,897
35,No,84,17.95,16.3675,3,Direct Debit,V,Victoria,Yes,0,1,125,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,"Friends, Fun & Fashion",Mobile,264
36,No,35,6,154.5325,1,Cheque,N,Northern Territory,No,0,0,42,Regular,N,Mail,0.67953668,Call Drop,-1,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.951889129,Independents,Cable,130
37,No,64,16,119.4,0,Cheque,Q,Queensland,No,0,0,8,Regular,N,Mail,0.046137046,Internet Slowness,0,Mobile,Yes,Internet Service & Fixed Line,0.310966059,"Friends, Fun & Fashion",Cable,157
38,No,66,4,30.5575,0,Cheque,N,Northern Territory,Yes,0,0,42,Regular,Y,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Mobile & PayTV,0.427509712,Entrepreneur,ADSL,280
39,No,60,99.26,85.135,3,Cheque,S,South Australia,No,0,0,39,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Family & Self Development,Bundle,9
40,No,44,21.4075,18.2775,0,Cheque,V,Victoria,Yes,0,0,20,Regular,Y,Mail,0.053805332,Internet Slowness,0,Mobile,No,Fixed Line,0.346654215,Principled Professional,ADSL,117
41,No,25,10,14.15,1,Cheque,Q,Queensland,No,0,0,2,Regular,N,Internet,0.074102396,Call Drop,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.427509712,Independents,Fixed line,122
42,No,44,18,54.455,0,Cheque,Q,Queensland,No,0,2,28,Regular,N,Internet,0.053805332,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,Small Business,Bundle,145
43,No,48,30.615,27.035,12,Cheque,V,Victoria,No,0,0,95,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,No,Fixed Line,0.228170627,"Friends, Fun & Fashion",Cable,74
44,No,38,46.0725,39.225,6,Cheque,V,Victoria,No,0,0,18,Regular,N,Mail,0.082100592,High Billed Amount,1,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.454911428,Principled Professional,Fixed line,213
45,No,63,21.045,20.3975,2,Credit Card,V,Victoria,Yes,0,0,102,Regular,Y,Internet,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Bundle,213
46,No,38,20,116.1725,3,Cheque,V,Victoria,No,0,0,8,Regular,N,Mail,0.074102396,Call Drop,0,Mobile,No,Fixed Line,0.427509712,Small Business,Fixed line,831
47,No,62,25.795,19.6275,6,Cheque,V,Victoria,No,0,0,46,Regular,Y,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Family & Self Development,Mobile,521
48,Yes,91,37.5825,29.7025,0,Direct Debit,V,Victoria,Yes,22,0,32,Regular,Y,Mail,0.900445765,Call Drop,-1,Mobile,Yes,Mobile & Internet Service,0.988289437,Family & Self Development,ADSL,78
49,Yes,,4,0.1775,1,Credit Card,N,Northern Territory,No,0,0,1,Occupier,N,Mail,0.030710259,Call Drop,1,Mobile,Yes,Mobile & Internet Service,0.228170627,Family & Self Development,Mobile,1
50,No,46,16.775,21.8375,1,Cheque,V,Victoria,No,0,0,54,Regular,N,Mail,0.285714286,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.7886832,Independents,Bundle,183
51,Yes,32,13,62.18,3,Credit Card,V,Victoria,No,0,0,77,Regular,N,Mail,0.030710259,Call Drop,1,Mobile,Yes,Mobile & Internet Service,0.228170627,Independents,ADSL,164
52,No,26,46.96,55.9325,3,Cheque,N,Northern Territory,No,0,0,11,Regular,Y,Internet,0.053805332,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,Principled Professional,Internet,33
53,No,37,28.35,24.375,1,Cheque,V,Victoria,No,0,0,16,Regular,Y,Mail,0.335321405,High Billed Amount,1,Mobile,Yes,Fixed Line & Mobile,0.824781235,Entrepreneur,ADSL,148
54,No,31,7,48.97,4,Cheque,Q,Queensland,Yes,0,0,27,Regular,N,Mail,0.22243274,Call Drop,1,Mobile,Yes,Internet Service & Fixed Line,0.727455641,Principled Professional,Fixed line,145
55,No,52,16,217.5775,0,Cheque,V,Victoria,No,0,0,88,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Principled Professional,Mobile,200
56,No,52,33.61,23.7625,2,Cheque,V,Victoria,No,0,0,65,Regular,Y,Internet,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,"Friends, Fun & Fashion",Bundle,181
57,No,53,24.1575,24.1175,0,Credit Card,V,Victoria,Yes,0,0,14,Regular,Y,Internet,0.053805332,Call Drop,0,Mobile,Yes,Mobile & PayTV,0.346654215,Independents,Cable,125
58,No,78,17.41,17.385,0,Cheque,V,Victoria,No,0,0,86,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Mobile & PayTV,0.228170627,Independents,Mobile,171
59,No,60,19,29.8875,1,Cheque,S,South Australia,No,0,0,14,Regular,N,Email,0.074102396,Internet Slowness,0,Mobile,Yes,Mobile & Internet Service,0.427509712,Family & Self Development,Cable,373
60,No,78,19,6.12,0,Direct Debit,V,Victoria,Yes,0,0,104,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Independents,ADSL,133
61,No,79,21.8,23.4825,2,Direct Debit,V,Victoria,No,0,0,81,Regular,Y,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Small Business,Cable,788
62,No,34,63.255,63.035,3,Credit Card,V,Victoria,No,0,0,88,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,"Friends, Fun & Fashion",Fixed line,249
63,No,76,3,74.195,1,Direct Debit,S,South Australia,Yes,0,0,100,Regular,N,Internet,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Cable,133
64,No,69,33.6675,31.685,0,Cheque,V,Victoria,Yes,0,0,80,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,No,Fixed Line,0.228170627,Principled Professional,Mobile,242
65,No,28,19.0775,17.98,8,Cheque,V,Victoria,No,0,0,40,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Principled Professional,Bundle,1
66,No,94,55.24,44.025,7,Direct Debit,V,Victoria,Yes,0,0,6,Regular,Y,Mail,0.150757228,Call Drop,1,Mobile,Yes,Mobile & PayTV,0.623545067,Independents,Bundle,77
67,No,26,9,52.4425,2,Cheque,S,South Australia,No,0,0,12,Regular,N,Mail,0.053805332,Internet Slowness,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.346654215,Entrepreneur,Cable,76
68,No,37,23.74,18.7825,3,Cheque,V,Victoria,No,0,0,26,Regular,Y,Mail,0.114993779,High Billed Amount,-1,Mobile,Yes,Fixed Line & Mobile,0.547996846,"Friends, Fun & Fashion",ADSL,118
69,No,43,7.715,9.1125,4,Cheque,V,Victoria,Yes,0,0,56,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,No,Fixed Line,0.228170627,Principled Professional,ADSL,130
70,No,49,6,186.115,0,Cheque,V,Victoria,No,0,0,46,Regular,N,Internet,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & PayTV,0.228170627,Family & Self Development,Cable,78
71,No,82,19.2575,18.4525,1,Credit Card,V,Victoria,Yes,0,0,16,Regular,Y,Mail,0.053805332,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.346654215,Entrepreneur,Cable,139
72,No,47,5,130.3,1,Cheque,S,South Australia,No,0,0,34,Regular,N,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.427509712,Family & Self Development,Internet,486
73,Yes,33,14,138.465,6,Credit Card,S,South Australia,No,0,0,19,Regular,N,Mail,0.22243274,High Billed Amount,-1,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.727455641,"Friends, Fun & Fashion",Mobile,63
74,No,58,23.2175,23.68,1,Cheque,V,Victoria,Yes,0,0,138,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & PayTV,0.228170627,Independents,Fixed line,158
75,No,63,13.6075,12.5575,0,Credit Card,V,Victoria,No,0,0,4,Regular,N,Internet,0.053805332,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,Entrepreneur,ADSL,103
76,Yes,28,15,83.7525,1,Credit Card,Q,Queensland,No,0,0,5,Regular,N,Mail,0.114993779,High Billed Amount,-1,Mobile,Yes,Mobile & Internet Service,0.547996846,Independents,Internet,166
77,No,52,45.0275,37.545,2,Cheque,V,Victoria,No,0,0,46,Regular,Y,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Independents,Internet,494
78,No,32,21.415,22.3075,1,Credit Card,V,Victoria,No,0,0,19,Regular,N,Internet,0.053805332,High Billed Amount,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.346654215,Entrepreneur,Mobile,250
79,No,51,31.315,26.545,0,Credit Card,V,Victoria,No,0,0,44,Regular,Y,Internet,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,"Friends, Fun & Fashion",Fixed line,61
80,No,37,35.8625,29.9475,4,Direct Debit,V,Victoria,No,0,0,41,Regular,Y,Internet,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Independents,Internet,463
81,No,34,18.165,17.815,2,Cheque,V,Victoria,No,0,0,15,Regular,Y,Mail,0.053805332,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,Family & Self Development,Mobile,151
82,No,31,25.685,19.9925,1,Cheque,V,Victoria,No,0,0,25,Regular,Y,Email,0.053805332,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,"Friends, Fun & Fashion",Bundle,100
83,No,39,6,83.0225,1,Cheque,Q,Queensland,No,0,0,13,Regular,N,Mail,0.053805332,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.346654215,Family & Self Development,ADSL,115
84,No,39,12.4025,13.28,3,Cheque,V,Victoria,Yes,0,0,13,Regular,Y,Mail,0.074102396,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.427509712,Principled Professional,Cable,135
85,No,60,15,80.565,0,Cheque,S,South Australia,No,0,0,2,Regular,N,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.427509712,Family & Self Development,Fixed line,348
86,No,78,6,92.38,0,Cheque,N,Northern Territory,Yes,0,0,56,Regular,N,Internet,0.082100592,High Billed Amount,1,Mobile,Yes,Internet Service & Fixed Line,0.454911428,Principled Professional,Bundle,422
87,No,48,35.3275,31.6475,8,Cheque,V,Victoria,No,0,0,8,Regular,Y,Mail,0.046137046,Call Drop,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.310966059,Independents,Mobile,41
88,No,22,15.955,14.23,6,Cheque,V,Victoria,No,9,5,17,Regular,Y,Mail,0.053805332,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.346654215,Family & Self Development,Bundle,68
89,Yes,35,7,73.4075,1,Credit Card,N,Northern Territory,No,0,0,20,Regular,N,Mail,0.747191011,High Billed Amount,-1,Mobile,Yes,Internet Service & Fixed Line,0.965006876,Family & Self Development,Mobile,49
90,No,60,12,116.055,1,Cheque,Q,Queensland,No,0,0,99,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,Independents,Mobile,392
91,No,45,53.2125,40.14,2,Cheque,V,Victoria,No,0,0,57,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Entrepreneur,Cable,92
92,No,64,17,11.19,0,Credit Card,V,Victoria,No,0,0,98,Regular,N,Internet,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Fixed line,419
93,No,85,27.675,23.8775,4,Direct Debit,V,Victoria,No,0,0,45,Regular,Y,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Mobile & Internet Service,0.427509712,Small Business,ADSL,336
94,No,50,6,106.135,0,Cheque,Q,Queensland,No,1,2,26,Regular,N,Email,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Principled Professional,Internet,172
95,No,,8,5.28,0,Cheque,V,Victoria,No,0,0,,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Entrepreneur,Cable,406
96,No,37,4,217.105,0,Credit Card,V,Victoria,No,0,0,2,Regular,Y,Internet,0.074102396,Internet Slowness,0,Mobile,Yes,Fixed Line & Mobile,0.427509712,Independents,Bundle,92
97,Yes,53,16,92.1825,5,Credit Card,Q,Queensland,No,0,0,12,Regular,N,Mail,0.150757228,Call Drop,-1,Mobile,Yes,Internet Service & Fixed Line,0.623545067,Independents,Bundle,116
98,No,47,17,121.5825,1,Cheque,Q,Queensland,No,0,0,73,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & PayTV,0.228170627,Principled Professional,Bundle,220
99,No,60,14.175,12.895,0,Cheque,V,Victoria,No,0,0,48,Regular,N,Internet,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Principled Professional,Internet,56
100,No,53,22.015,21.0075,0,Cheque,V,Victoria,No,0,0,100,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Entrepreneur,Mobile,274
101,No,,31.0425,30.25,0,Cheque,V,Victoria,No,0,0,91,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Principled Professional,ADSL,259
102,No,51,11,109.865,0,Cheque,N,Northern Territory,No,0,0,45,Regular,Y,Internet,0.089802131,Call Drop,1,Mobile,Yes,Internet Service & Fixed Line,0.479322727,Independents,Fixed line,161
103,No,47,5,45.03,0,Cheque,Q,Queensland,No,0,0,5,Regular,N,Mail,0.114993779,Call Drop,1,Mobile,Yes,Fixed Line & Mobile,0.547996846,"Friends, Fun & Fashion",Mobile,105
104,No,22,16,109.3375,3,Cheque,Q,Queensland,No,0,0,11,Regular,N,Mail,0.074102396,High Billed Amount,0,Mobile,Yes,Mobile & Internet Service,0.427509712,Independents,ADSL,82
105,No,82,17.0175,17.0425,0,Cheque,V,Victoria,Yes,0,0,105,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,Family & Self Development,Bundle,426
106,No,52,32.2175,30.5925,0,Cheque,V,Victoria,No,0,0,43,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Mobile & PayTV,0.228170627,Entrepreneur,ADSL,139
107,No,57,3,61.1125,1,Cheque,S,South Australia,No,0,0,115,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Small Business,Fixed line,80
108,No,,3,28.9175,3,Cheque,V,Victoria,No,0,0,121,Regular,N,Internet,0.030710259,Call Drop,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Principled Professional,Internet,88
109,No,73,53.3325,50.52,5,Cheque,Q,Queensland,No,0,0,51,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Independents,ADSL,78
110,No,52,15.72,11.345,0,Credit Card,V,Victoria,No,0,0,58,Regular,Y,Mail,0.030710259,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Entrepreneur,Bundle,125
111,No,43,20,184.0525,4,Cheque,S,South Australia,No,0,0,36,Regular,N,Mail,0.074102396,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.427509712,Principled Professional,Bundle,232
112,No,66,13,99.0325,0,Cheque,S,South Australia,Yes,0,0,18,Regular,N,Internet,0.150757228,Internet Slowness,0,Mobile,Yes,Mobile & Internet Service,0.623545067,Entrepreneur,Fixed line,761
113,No,52,7,12.91,0,Cheque,Q,Queensland,No,0,0,82,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,Small Business,ADSL,1065
114,No,71,16,60.3175,1,Direct Debit,Q,Queensland,Yes,0,0,59,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Independents,Internet,91
115,No,39,41.4275,31.705,1,Cheque,V,Victoria,No,0,0,42,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Principled Professional,Internet,493
116,No,69,21.74,20.805,1,Cheque,V,Victoria,Yes,0,0,119,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,Entrepreneur,Bundle,69
117,No,54,12,26.615,0,Cheque,Q,Queensland,No,0,0,73,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Small Business,Cable,185
118,No,22,19,19.8875,0,Cheque,Q,Queensland,No,0,0,5,Regular,N,Internet,0.053805332,High Billed Amount,0,Mobile,Yes,Fixed Line & Mobile,0.346654215,Principled Professional,Mobile,225
119,Yes,,12,11.695,4,Credit Card,V,Victoria,No,0,0,9,Occupier,N,Mail,0.22147651,Call Drop,-1,Mobile,Yes,Mobile & PayTV,0.726356423,"Friends, Fun & Fashion",Internet,12
120,Yes,24,17,27.1875,0,Credit Card,Q,Queensland,No,0,0,,Regular,N,Internet,0.053805332,Internet Slowness,1,Mobile,Yes,Fixed Line & Mobile,0.346654215,Family & Self Development,ADSL,147
121,No,40,41.295,31.325,8,Cheque,V,Victoria,No,0,0,35,Regular,Y,Internet,0.082100592,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.454911428,Family & Self Development,Internet,413
122,No,65,9,72.7,1,Cheque,S,South Australia,No,0,0,56,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Fixed Line & Mobile,0.228170627,"Friends, Fun & Fashion",Bundle,241
123,No,67,7.1075,5.81,1,Cheque,V,Victoria,Yes,0,0,7,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Independents,Fixed line,63
124,No,36,20,79.7275,1,Credit Card,S,South Australia,No,0,0,67,Regular,N,Mail,0.053805332,High Billed Amount,0,Mobile,Yes,Internet Service & Fixed Line,0.346654215,Small Business,Cable,120
125,No,36,307.5375,345.5325,12,Cheque,V,Victoria,No,0,0,17,Regular,N,Mail,0.19047619,High Billed Amount,-1,Mobile,Yes,Fixed Line & Mobile,0.687053095,Entrepreneur,Internet,162
126,No,43,38.7875,33.2675,4,Cheque,V,Victoria,No,0,0,52,Regular,Y,Mail,0.074102396,Call Drop,0,Mobile,No,Fixed Line,0.427509712,"Friends, Fun & Fashion",Mobile,569
127,No,61,14,41.0225,2,Cheque,Q,Queensland,No,0,0,6,Regular,N,Internet,0.030710259,Call Drop,0,Mobile,Yes,Mobile & Internet Service,0.228170627,Small Business,Fixed line,178
128,No,29,51.7525,86.895,5,Cheque,V,Victoria,No,0,0,9,Regular,Y,Internet,0.22243274,Internet Slowness,1,Mobile,Yes,Internet Service & Fixed Line,0.727455641,Family & Self Development,ADSL,202
129,No,57,66.4825,43.455,3,Cheque,V,Victoria,No,0,0,53,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Entrepreneur,ADSL,120
130,Yes,22,3,54.68,4,Credit Card,Q,Queensland,No,0,0,32,Regular,N,Mail,0.046137046,Call Drop,1,Mobile,Yes,Mobile & PayTV,0.310966059,Independents,Mobile,200
131,No,77,11,62.1175,0,Cheque,S,South Australia,No,0,0,123,Regular,N,Mail,0.030710259,High Billed Amount,0,Mobile,No,Fixed Line,0.228170627,Family & Self Development,Cable,0
